2023-07-30 10:02:55 status half-configured man-db:arm64 2.9.4-2
2023-07-30 10:02:55 status installed man-db:arm64 2.9.4-2
2023-07-30 10:02:55 startup packages purge
2023-07-30 10:02:55 purge dphys-swapfile:all 20100506-7 <none>
2023-07-30 10:02:55 status config-files dphys-swapfile:all 20100506-7
2023-07-30 10:02:56 status not-installed dphys-swapfile:all <none>
2023-07-30 10:02:56 startup packages configure
2023-07-30 10:02:59 startup packages remove
2023-07-30 10:02:59 status installed dc:arm64 1.07.1-2+b2
2023-07-30 10:02:59 remove dc:arm64 1.07.1-2+b2 <none>
2023-07-30 10:02:59 status half-configured dc:arm64 1.07.1-2+b2
2023-07-30 10:02:59 status half-installed dc:arm64 1.07.1-2+b2
2023-07-30 10:02:59 status triggers-pending man-db:arm64 2.9.4-2
2023-07-30 10:02:59 status config-files dc:arm64 1.07.1-2+b2
2023-07-30 10:03:00 startup packages configure
2023-07-30 10:03:00 trigproc man-db:arm64 2.9.4-2 <none>
2023-07-30 10:03:00 status half-configured man-db:arm64 2.9.4-2
2023-07-30 10:03:00 status installed man-db:arm64 2.9.4-2
2023-07-30 10:09:33 startup packages remove
2023-07-30 10:09:33 status installed alsa-topology-conf:all 1.2.4-1
2023-07-30 10:09:34 remove alsa-topology-conf:all 1.2.4-1 <none>
2023-07-30 10:09:34 status half-configured alsa-topology-conf:all 1.2.4-1
2023-07-30 10:09:34 status half-installed alsa-topology-conf:all 1.2.4-1
2023-07-30 10:09:34 status config-files alsa-topology-conf:all 1.2.4-1
2023-07-30 10:09:34 status not-installed alsa-topology-conf:all <none>
2023-07-30 10:09:34 status installed alsa-ucm-conf:all 1.2.4-2
2023-07-30 10:09:34 remove alsa-ucm-conf:all 1.2.4-2 <none>
2023-07-30 10:09:34 status half-configured alsa-ucm-conf:all 1.2.4-2
2023-07-30 10:09:34 status half-installed alsa-ucm-conf:all 1.2.4-2
2023-07-30 10:09:34 status config-files alsa-ucm-conf:all 1.2.4-2
2023-07-30 10:09:34 status not-installed alsa-ucm-conf:all <none>
2023-07-30 10:09:37 status installed pi-bluetooth:all 0.1.18
2023-07-30 10:09:37 remove pi-bluetooth:all 0.1.18 <none>
2023-07-30 10:09:37 status half-configured pi-bluetooth:all 0.1.18
